day;Local O 50p;Local O 99	5p;Local O 99	8p;Remote O 50p;Remote O 99	5p;Remote O 99	8p;Remote Rprt O 50p;Remote Rprt O 99	5p;Remote Rprt O 99
2021-06-01;10.0;27.225;28.89;11.0;28.805;110.132;13.0;33.0;39.0					
2021-06-02;13.0;257.71;289.084;11.0;27.0;37.0;15.0;32.0;36.736					
2021-06-03;15.0;173.66;3566.6;11.0;29.0;118.01;14.0;43.0;228.68					
2021-06-04;19.0;172.36;181.144;11.0;33.0;102.952;14.0;34.0;39.0					
2021-06-05;19.0;176.4;196.56;10.0;32.0;97.8;13.0;36.0;48.0					
2021-06-06;16.0;148.6;154.84;10.0;27.0;32.848;13.0;33.0;40.0					
2021-06-07;17.0;98.53;130.012;10.0;27.0;33.068;13.0;32.0;41.0					
2021-06-08;15.0;36.0;36.0;10.0;24.0;29.0;13.0;32.0;95.0					
2021-06-09;18.0;45.31;47.524;11.0;63.08;269.08;14.0;38.0;59.972					
2021-06-10;17.0;34.38;35.952;11.0;28.37;35.0;14.0;34.0;52.052					
2021-06-11;18.0;215.29;219.316;10.0;28.0;51.352;13.0;32.0;39.0					
2021-06-12;18.0;30.0;30.0;10.0;25.0;30.0;13.0;30.0;34.0					
2021-06-13;18.0;34.86;35.544;11.0;27.0;36.0;14.0;32.0;46.196					
2021-06-14;18.0;51.005;54.602;11.0;29.0;39.686;14.0;34.0;41.0					
2021-06-15;18.0;24.88;24.952;10.0;30.36;33.736;14.0;31.0;33.0					
2021-06-16;18.0;34.0;34.0;11.0;26.0;30.0;14.0;32.0;37.0					
2021-06-17;10.0;26.0;30.914;11.0;30.0;42.884;14.0;36.115;45.246					
2021-06-18;18.0;39.16;43.264;11.0;30.0;41.36;14.0;36.0;45.654					
2021-06-19;17.0;81.735;97.494;10.0;27.0;37.0;13.0;32.0;38.0					
2021-06-20;17.0;195.525;202.41;10.0;28.0;40.36;14.0;32.0;40.406					
2021-06-21;16.0;37.91;109.628;11.0;30.0;55.0;14.0;35.0;42.216					
2021-06-22;18.0;186.13;242.452;10.0;26.0;34.7;13.0;30.91;37.0					
2021-06-23;19.0;276.03;284.412;10.0;30.825;100.0;13.0;33.0;50.402					
2021-06-24;18.0;222.95;224.78;10.0;27.0;38.0;13.0;31.0;37.0					
2021-06-25;17.0;47.0;47.0;10.0;28.0;36.0;13.0;33.0;42.23					
2021-06-26;18.0;40.56;47.424;10.0;28.0;37.862;14.0;32.11;39.0					
2021-06-27;16.0;835.26;857.904;10.0;27.0;68.0;13.0;31.0;38.0					
2021-06-28;17.0;38.425;40.57;10.0;28.0;40.0;13.0;32.0;40.0					
2021-06-29;18.0;148.825;150.73;11.0;28.0;33.912;14.0;32.0;42.938					
2021-06-30;18.0;65.4;70.56;11.0;37.36;224.464;14.0;42.0;396.46					

