,Local O 50p,"Local O 99,5p","Local O 99,8p",Remote O 50p,"Remote O 99,5p","Remote O 99,8p",Remote Rprt O 50p,"Remote Rprt O 99,5p","Remote Rprt O 99,8p",day
0,10.0,136.0,253.0,10.0,304.0,411.32,6.0,60.0,158.0,2023-11-01
1,8.0,138.0,198.0,11.0,333.0,418.0,7.0,111.0,190.0,2023-11-02
2,12.0,117.0,175.0,10.0,126.0,188.0,7.0,39.0,65.0,2023-11-03
3,12.0,99.0,131.0,10.0,106.0,218.0,6.0,32.0,43.0,2023-11-04
4,7.0,158.0,247.08,12.0,559.0,748.0,6.0,143.0,255.0,2023-11-05
5,6.0,166.0,365.0,10.0,413.0,585.0,6.0,195.0,314.0,2023-11-06
6,12.0,149.0,277.0,12.0,402.0,489.0,6.0,153.0,273.0,2023-11-07
7,10.0,194.24,472.0,11.0,371.0,521.0,7.0,206.0,340.0,2023-11-08
8,11.0,117.0,208.0,7.0,193.0,307.0,5.0,37.0,79.0,2023-11-09
9,6.0,108.0,191.84,6.0,136.0,229.0,4.0,66.0,143.1,2023-11-10
10,6.0,99.0,132.0,5.0,69.0,182.0,4.0,29.0,48.0,2023-11-11
11,6.0,102.0,141.67,7.0,76.0,155.0,4.0,31.0,44.0,2023-11-12
12,8.0,111.0,252.0,6.0,215.0,266.0,4.0,42.0,153.0,2023-11-13
13,11.0,95.0,136.0,7.0,65.0,99.0,4.0,38.0,60.0,2023-11-14
14,9.0,456.0,484.0,6.0,316.0,413.0,4.0,63.0,195.78,2023-11-15
15,7.0,151.15656764067057,254.906279572452,11.0,406.9999895419396,537.3714148164772,7.0,139.0571394189524,236.5428512765925,2023-11-16
16,9.0,159.8202541378792,295.07886067755965,15.0,426.7658114203726,559.4803788974059,6.470351464453094,152.51155087690367,263.7014956732095,2023-11-17
17,5.0,5.99,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-18
18,14.0,15.94,15.98,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-19
19,6.0,108.28571428571429,161.66714285714286,7.0,72.0,122.42857142857143,6.0,37.0,63.142857142857146,2023-11-20
20,6.0,107.5,159.1675,8.0,72.5,126.5,5.0,36.25,60.75,2023-11-21
21,7.0,159.04208811064782,278.3562368960779,14.0,469.347657014104,629.133024319252,6.40603380569837,150.23293931880013,258.64532837491214,2023-11-22
22,5.0,107.0,160.7,7.0,71.1,118.0,6.0,37.7,65.2,2023-11-23
23,5.0,112.0,152.0,8.0,111.0,193.0,6.0,45.0,110.0,2023-11-24
24,5.0,106.0,131.0,8.0,45.0,75.0,6.0,27.0,34.0,2023-11-25
25,5.0,110.0,212.0,8.0,58.0,83.0,6.0,42.0,55.0,2023-11-26
26,4.0,86.0,122.0,6.0,69.0,127.0,5.0,35.0,55.0,2023-11-27
27,4.0,69.0,99.0,6.0,43.0,70.0,4.0,29.0,45.0,2023-11-28
28,5.0,87.0,119.0,6.0,53.0,91.0,4.0,32.0,52.0,2023-11-29
29,4.0,109.0,191.0,6.0,85.0,154.0,4.0,32.0,57.0,2023-11-30
